Channel Names,Optimal Time Windows Start,Optimal Time Windows End,Accuracy
F7,0,13,0.7291666666666666
B6,8,17,0.7152777777777778
B8,42,60,0.7083333333333334
B7,15,41,0.7083333333333334
B5,10,49,0.7013888888888888
C10,5,7,0.7013888888888888
F8,1,9,0.6944444444444444
C9,27,27,0.6875
