Channel Names,Optimal Time Windows Start,Optimal Time Windows End,Accuracy
C5,10,25,0.7205882352941176
C6,17,44,0.6911764705882353
C4,22,31,0.6911764705882353
C3,30,32,0.6838235294117647
D9,2,11,0.6838235294117647
C7,2,39,0.6764705882352942
D8,30,54,0.6764705882352942
D10,11,38,0.6544117647058824
C8,17,32,0.6397058823529411
