Channel Names,Optimal Time Windows Start,Optimal Time Windows End,Accuracy
B8,9,13,0.7291666666666666
B7,5,14,0.7222222222222222
B5,51,58,0.7152777777777778
F7,30,38,0.7083333333333334
C10,13,27,0.7013888888888888
B6,2,5,0.6944444444444444
C9,14,18,0.6944444444444444
F8,2,4,0.6944444444444444
